%time,desired_box
1735645971052898114,0
1735645971252889300,0
1735645971452879242,0
1735645971652889553,0
1735645971852770750,0
1735645972052868296,0
1735645972252910629,0
1735645972452868870,0
1735645972652913978,0
1735645972852867051,0
1735645973052907750,0
1735645973252870572,0
1735645973452917634,0
1735645973652790945,0
1735645973852892059,0
1735645974052898503,0
1735645974252910318,0
1735645974452878711,0
1735645974652914290,0
1735645974852929080,0
1735645975052918913,0
1735645975252868209,0
1735645975452841713,0
1735645975652989996,0
1735645975852978466,0
1735645976052923154,0
1735645976252909672,0
1735645976452922889,0
1735645976652922110,0
1735645976852881397,0
1735645977052875698,0
1735645977252803525,0
1735645977452951498,0
1735645977652939519,0
1735645977852928841,0
1735645978052921370,0
1735645978252888771,0
1735645978452881552,0
1735645978652698427,0
1735645978852859957,0
1735645979052881511,0
1735645979252791894,0
1735645979452913067,0
1735645979652935814,0
1735645979852719709,0
1735645980052867832,0
1735645980252956093,0
1735645980452910320,0
1735645980652982170,0
1735645980852936828,0
1735645981052881447,0
1735645981252748529,0
1735645981452882327,0
1735645981652961901,0
1735645981852927500,0
1735645982052851971,0
1735645982252994404,0
1735645982452746840,0
1735645982652764277,0
1735645982852939673,0
1735645983052932855,0
1735645983252837689,0
1735645983452928425,0
1735645983652765631,0
1735645983852888759,0
1735645984052758246,0
1735645984252930055,0
1735645984452953916,0
1735645984652936096,0
1735645984852788852,0
1735645985052914495,0
1735645990013734828,122
1735645990213705738,122
1735645990413743416,122
1735645990613755235,122
1735645990813702481,122
1735645991013779542,122
1735645991213727179,122
1735645991413745059,122
1735645991613739986,122
1735645991813735764,122
1735645992013748604,122
1735645992213745225,122
1735645992413731214,122
1735645992613747963,122
1735645992813754862,122
1735645993013748255,122
1735645993213774723,122
1735645993413671132,122
1735645993613714342,122
1735645993813624057,122
1735645994013731026,122
1735645994213643889,122
1735645994413704650,122
1735645994613739192,122
1735645994813642917,122
1735645995013715190,122
1735645995213793215,122
1735645995413800316,122
1735645995613730901,122
1735645995813746016,122
1735645996013738089,122
1735645996213686939,122
1735645996413717234,122
1735645996613609097,122
1735645996813662525,122
1735645997013786377,122
1735645997213803227,122
1735645997413764471,122
1735645997613732718,122
1735645997813611817,122
1735645998013687187,122
1735645998213773267,122
1735645998413726446,122
1735645998613682310,122
1735645998813761477,122
1735645999013775191,122
1735645999213746485,122
1735645999413769276,122
1735645999613644698,122
1735645999813783019,122
1735646000013713815,122
1735646000213705847,122
1735646000413763375,122
1735646000613605324,122
1735646000813659034,122
1735646001013748391,122
1735646001213693235,122
1735646001413747747,122
1735646001613631445,122
1735646001813701866,122
1735646002013542964,122
1735646002213743812,122
1735646002413772125,122
1735646002613657517,122
1735646002813768695,122
1735646003013705555,122
1735646003213555229,122
1735646003413732883,122
1735646003613739485,122
1735646003813621080,122
1735646004013511522,122
1735646004213756795,122
1735646004413716007,122
1735646004613783172,122
1735646004813750329,122
1735646005013690234,122
1735646005213654887,122
1735646005413718757,122
1735646005613761136,122
1735646005813746828,122
1735646006013764020,122
1735646006213727841,122
1735646006413756495,122
1735646006613699006,122
1735646006813741135,122
1735646007013740533,122
1735646007213718411,122
1735646007413733649,122
1735646007613702050,122
1735646007813690207,122
1735646008013759397,122
1735646008213724220,122
1735646008413693422,122
1735646008613717938,122
1735646008813690216,122
1735646009013773773,122
1735646009213707399,122
1735646009413733768,122
1735646009613742505,122
1735646009813738657,122
1735646010013712889,122
1735646010213583203,122
1735646010413729170,122
1735646010613617880,122
1735646010813750581,122
1735646011013706278,122
1735646011213688094,122
1735646011413753307,122
1735646011613721167,122
1735646011813722661,122
1735646012013625167,122
1735646012213733021,122
1735646012413702755,122
1735646012613709809,122
1735646012813705852,122
1735646013013740148,122
1735646013213755999,122
1735646013413730552,122
1735646013613735923,122
1735646013813725434,122
1735646014013551255,122
1735646014213688015,122
1735646014413677626,122
1735646014613710049,122
1735646014813745226,122
1735646015013721723,122
1735646015213588664,122
1735646015413692762,122
1735646015613680539,122
1735646015813732489,122
1735646016013741107,122
1735646016213681406,122
1735646016413778130,122
1735646016613704353,122
1735646016813722007,122
1735646017013784236,122
1735646017213685953,122
1735646017413770113,122
1735646017613687028,122
1735646017813734259,122
1735646018013698163,122
1735646018213761464,122
1735646018413712935,122
1735646018613758543,122
1735646018813748405,122
1735646019013709555,122
1735646019213636277,122
1735646019413681205,122
1735646019613781547,122
1735646019813800184,122
1735646020013853267,122
1735646020213825016,122
1735646020413718066,122
1735646020613691428,122
1735646020813725314,122
1735646021013779328,122
1735646021213727062,122
1735646021413735761,122
1735646021613646144,122
1735646021813584841,122
1735646022013709620,122
1735646022213767112,122
1735646022413716388,122
1735646022613716411,122
1735646022813738345,122
1735646023013717079,122
1735646023213719196,122
1735646023413697227,122
1735646023613614564,122
1735646023813748339,122
1735646024013784210,122
1735646024213756853,122
1735646024413756815,122
1735646024613748352,122
1735646024813720995,122
1735646025013727129,122
1735646025213708617,122
1735646025413712909,122
1735646025613752757,122
1735646025813783390,122
1735646026013687060,122
1735646026213639223,122
1735646026413768201,122
1735646026613758517,122
1735646026813700039,122
1735646027013682290,122
1735646027213729512,122
1735646027413716542,122
1735646027613741414,122
1735646027813741296,122
1735646028013679534,122
1735646028213707070,122
1735646028413564545,122
1735646028613731544,122
1735646028813620248,122
1735646029013729018,122
1735646029213753619,122
1735646029413676337,122
1735646029613787211,122
1735646029813778388,122
1735646030013712868,122
1735646030213806600,122
1735646030413680826,122
1735646030613755913,122
1735646030813752461,122
1735646031013792932,122
1735646031213683020,122
1735646031413625355,122
1735646031613772138,122
1735646031813742626,122
1735646032013746829,122
1735646032213737225,122
1735646032413855755,122
1735646032613883212,122
1735646032813871254,122
1735646033013742995,122
1735646033213747510,122
1735646033413785967,122
1735646033613853530,122
1735646033815740267,122
1735646034014359739,122
1735646034213841223,122
1735646034413803737,122
1735646034613740653,122
1735646034813730419,122
1735646035013708673,122
1735646035213752601,122
1735646035413617292,122
1735646035613716784,122
1735646035813664712,122
1735646036013780405,122
1735646036213780281,122
1735646036413745502,122
1735646036613746851,122
1735646036813779056,122
1735646037013710783,122
1735646037213758259,122
1735646037413747415,122
1735646037613712915,122
1735646037813744360,122
1735646038013699812,122
1735646038213644403,122
1735646038413765128,122
1735646038613775584,122
1735646038813700498,122
1735646039013758784,122
1735646039213807333,122
1735646039413745852,122
1735646039613648775,122
1735646039813723913,122
1735646040013782510,122
1735646040213768931,122
1735646040413745082,122
1735646040613747865,122
1735646040813749525,122
1735646041013746415,122
1735646041213735831,122
1735646041413703026,122
1735646041613640725,122
1735646041813760799,122
