%time,intersection_length
1735645971004113376,0
1735645971104213272,0
1735645971204553070,0
1735645971304453798,0
1735645971404900059,0
1735645971505650776,0
1735645971603685932,0
1735645971704299490,0
1735645971803421403,0
1735645971904628623,0
1735645972004689766,0
1735645972104421574,0
1735645972205183352,0
1735645972307092041,0
1735645972403495809,0
1735645972503709861,0
1735645972603509317,0
1735645972704169673,0
1735645972804287752,0
1735645972906977980,0
1735645973004364870,0
1735645973102943736,0
1735645973203152497,0
1735645973305453769,0
1735645973404530358,0
1735645973505869788,0
1735645973602599445,0
1735645973702383061,0
1735645973804042949,0
1735645973904990368,0
1735645974002462991,0
1735645974105886026,0
1735645974204323505,0
1735645974305016592,0
1735645974405064550,0
1735645974504670891,0
1735645974605992118,0
1735645974706957410,0
1735645974805604676,0
1735645974905668443,0
1735645975002656859,0
1735645975105740533,0
1735645975206024416,0
1735645975305304910,0
1735645975404880343,0
1735645975504724414,0
1735645975605780039,0
1735645975704824847,0
1735645975804200661,0
1735645975909064024,0
1735645976004373280,0
1735645976105162571,0
1735645976203928733,0
1735645976305131374,0
1735645976403982777,0
1735645976502533892,0
1735645976604778976,0
1735645976704359219,0
1735645976803986370,0
1735645976904949047,0
1735645977004204856,0
1735645977105453416,0
1735645977203821504,0
1735645977304136015,0
1735645977403725324,0
1735645977504420106,0
1735645977603911170,0
1735645977705315734,0
1735645977804528861,0
1735645977904636001,0
1735645978004195845,0
1735645978102860793,0
1735645978203485432,0
1735645978302537846,0
1735645978402403839,0
1735645978505040105,0
1735645978603149252,0
1735645978704920452,0
1735645978802902148,0
1735645978905512536,0
1735645979005218496,0
1735645979102432179,0
1735645979202244811,0
1735645979303842120,0
1735645979405649479,0
1735645979504991961,0
1735645979603111999,0
1735645979705256636,0
1735645979805847580,0
1735645979903532204,0
1735645980004305785,0
1735645980103823219,0
1735645980202647741,0
1735645980304331354,0
1735645980404590241,0
1735645980504086114,0
1735645980602234506,0
1735645980702819931,0
1735645980803692069,0
1735645980902779799,0
1735645981002021070,0
1735645981105260438,0
1735645981202627011,0
1735645981302739170,0
1735645981404725236,0
1735645981505370144,0
1735645981604589924,0
1735645981703400039,0
1735645981804226781,0
1735645981903633024,0
1735645982003580431,0
1735645982102780163,0
1735645982203203882,0
1735645982304115655,0
1735645982403792631,0
1735645982503528137,0
1735645982604733596,0
1735645982704701021,0
1735645982802560496,0
1735645982903933312,0
1735645983003572897,0
1735645983102163396,0
1735645983203631062,0
1735645983303079405,0
1735645983403565943,0
1735645983503740140,0
1735645983604733367,0
1735645983704105676,0
1735645983803869616,0
1735645983903795163,0
1735645984003610230,0
1735645984103890398,0
1735645984205160970,0
1735645984303873770,0
1735645984403490041,0
1735645984504089304,0
1735645984603987799,0
1735645984703539387,0
1735645984803415609,0
1735645984903568696,0
1735645985003959154,0
1735645985105732217,0
1735645985203934050,0
1735645985304668367,0
1735645985403762111,0
1735645985503669372,0
1735645985604596424,0
1735645985704768867,0
1735645985804360603,0
1735645985905177456,0
1735645986004264064,0
