%time,field.header.seq,field.header.stamp,field.header.frame_id,field.axes0,field.axes1,field.buttons0,field.buttons1,field.buttons2,field.buttons3
1735645971023583539,14706,0,,0.0,0.0,0,0,0,0
1735645971135958468,14707,0,,0.0,0.0,0,0,0,0
1735645971245166922,14708,0,,0.0,0.0,0,0,0,0
1735645971356747087,14709,0,,0.0,0.0,0,0,0,0
1735645971471478505,14710,0,,0.0,0.0,0,0,0,0
1735645971585949441,14711,0,,0.0,0.0,0,0,0,0
1735645971687045702,14712,0,,0.0,0.0,0,0,0,0
1735645971804493332,14713,0,,0.0,0.0,0,0,0,0
1735645971908117027,14714,0,,0.0,0.0,0,0,0,0
1735645972019572085,14715,0,,0.0,0.0,0,0,0,0
1735645972142054665,14716,0,,0.0,0.0,0,0,0,0
1735645972250601087,14717,0,,0.0,0.0,0,0,0,0
1735645972357623564,14718,0,,0.0,0.0,0,0,0,0
1735645972470445870,14719,0,,0.0,0.0,0,0,0,0
1735645972584019187,14720,0,,0.0,0.0,0,0,0,0
1735645972676802173,14721,0,,0.0,0.0,0,0,0,0
1735645972792641349,14722,0,,0.0,0.0,0,0,0,0
1735645972899685518,14723,0,,0.0,0.0,0,0,0,0
1735645973006500032,14724,0,,0.0,0.0,0,0,0,0
1735645973124443580,14725,0,,0.0,0.0,0,0,0,0
1735645973231931689,14726,0,,0.0,0.0,0,0,0,0
1735645973342627190,14727,0,,0.0,0.0,0,0,0,0
1735645973448843652,14728,0,,0.0,0.0,0,0,0,0
1735645973567782084,14729,0,,0.0,0.0,0,0,0,0
1735645973659779442,14730,0,,0.0,0.0,0,0,0,0
1735645973772000621,14731,0,,0.0,0.0,0,0,0,0
1735645973876673692,14732,0,,0.0,0.0,0,0,0,0
1735645974002358183,14733,0,,0.0,0.0,0,0,0,0
1735645974105150293,14734,0,,0.0,0.0,0,0,0,0
1735645974215671924,14735,0,,0.0,0.0,0,0,0,0
1735645974332035914,14736,0,,0.0,0.0,0,0,0,0
1735645974436575482,14737,0,,0.0,0.0,0,0,0,0
1735645974548306393,14738,0,,0.0,0.0,0,0,0,0
1735645974661427142,14739,0,,0.0,0.0,0,0,0,0
1735645974773980810,14740,0,,0.0,0.0,0,0,0,0
1735645974885435217,14741,0,,0.0,0.0,0,0,0,0
1735645974994814426,14742,0,,0.0,0.0,0,0,0,0
1735645975105378988,14743,0,,0.0,0.0,0,0,0,0
1735645975213718599,14744,0,,0.0,0.0,0,0,0,0
1735645975334743250,14745,0,,0.0,0.0,0,0,0,0
1735645975443673619,14746,0,,0.0,0.0,0,0,0,0
1735645975537226743,14747,0,,0.0,0.0,0,0,0,0
1735645975647916903,14748,0,,0.0,0.0,0,0,0,0
1735645975757222633,14749,0,,0.0,0.0,0,0,0,0
1735645975868854085,14750,0,,0.0,0.0,0,0,0,0
1735645975981835973,14751,0,,0.0,0.0,0,0,0,0
1735645976088288823,14752,0,,0.0,0.0,0,0,0,0
1735645976204407279,14753,0,,0.0,0.0,0,0,0,0
1735645976323930417,14754,0,,0.0,0.0,0,0,0,0
1735645976424477850,14755,0,,0.0,0.0,0,0,0,0
1735645976541805994,14756,0,,0.0,0.0,0,0,0,0
1735645976645772278,14757,0,,0.0,0.0,0,0,0,0
1735645976754900813,14758,0,,0.0,0.0,0,0,0,0
1735645976870002553,14759,0,,0.0,0.0,0,0,0,0
1735645976976597242,14760,0,,0.0,0.0,0,0,0,0
1735645977096833760,14761,0,,0.0,0.0,0,0,0,0
1735645977200864477,14762,0,,0.0,0.0,0,0,0,0
1735645977316432149,14763,0,,0.0,0.0,0,0,0,0
1735645977423803929,14764,0,,0.0,0.0,0,0,0,0
1735645977535983558,14765,0,,0.0,0.0,0,0,0,0
1735645977646091366,14766,0,,0.0,0.0,0,0,0,0
1735645977754913671,14767,0,,0.0,0.0,0,0,0,0
1735645977870122545,14768,0,,0.0,0.0,0,0,0,0
1735645977980859684,14769,0,,0.0,0.0,0,0,0,0
1735645978091204180,14770,0,,0.0,0.0,0,0,0,0
1735645978205329743,14771,0,,0.0,0.0,0,0,0,0
1735645978318062971,14772,0,,0.0,0.0,0,0,0,0
1735645978425601467,14773,0,,0.0,0.0,0,0,0,0
1735645978537701315,14774,0,,0.0,0.0,0,0,0,0
1735645978647184121,14775,0,,0.0,0.0,0,0,0,0
1735645978762556895,14776,0,,0.0,0.0,0,0,0,0
1735645978854245650,14777,0,,0.0,0.0,0,0,0,0
1735645978965821747,14778,0,,0.0,0.0,0,0,0,0
1735645979065123342,14779,0,,0.0,0.0,0,0,0,0
1735645979179526541,14780,0,,0.0,0.0,0,0,0,0
1735645979286586289,14781,0,,0.0,0.0,0,0,0,0
1735645979401579945,14782,0,,0.0,0.0,0,0,0,0
1735645979515518545,14783,0,,0.0,0.0,0,0,0,0
1735645979623851204,14784,0,,0.0,0.0,0,0,0,0
1735645979733059960,14785,0,,0.0,0.0,0,0,0,0
1735645979842073397,14786,0,,0.0,0.0,0,0,0,0
1735645979959632349,14787,0,,0.0,0.0,0,0,0,0
1735645980069059389,14788,0,,0.0,0.0,0,0,0,0
1735645980172424776,14789,0,,0.0,0.0,0,0,0,0
1735645980288540215,14790,0,,0.0,0.0,0,0,0,0
1735645980394630170,14791,0,,0.0,0.0,0,0,0,0
1735645980558075344,14792,0,,0.0,0.0,0,0,0,0
1735645980616028144,14793,0,,0.0,0.0,0,0,0,0
1735645980735822988,14794,0,,0.0,0.0,0,0,0,0
1735645980845856816,14795,0,,0.0,0.0,0,0,0,0
1735645980951547225,14796,0,,0.0,0.0,0,0,0,0
1735645981062035272,14797,0,,0.0,0.0,0,0,0,0
1735645981174579723,14798,0,,0.0,0.0,0,0,0,0
1735645981282268113,14799,0,,0.0,0.0,0,0,0,0
1735645981395931852,14800,0,,0.0,0.0,0,0,0,0
1735645981507830590,14801,0,,0.0,0.0,0,0,0,0
1735645981615726533,14802,0,,0.0,0.0,0,0,0,0
1735645981735583054,14803,0,,0.0,0.0,0,0,0,0
1735645981838616573,14804,0,,0.0,0.0,0,0,0,0
1735645981952481302,14805,0,,0.0,0.0,0,0,0,0
1735645982064469339,14806,0,,0.0,0.0,0,0,0,0
1735645982173319919,14807,0,,0.0,0.0,0,0,0,0
1735645982283281491,14808,0,,0.0,0.0,0,0,0,0
1735645982393763468,14809,0,,0.0,0.0,0,0,0,0
1735645982492681247,14810,0,,0.0,0.0,0,0,0,0
1735645982604183665,14811,0,,0.0,0.0,0,0,0,0
1735645982714837797,14812,0,,0.0,0.0,0,0,0,0
1735645982827531131,14813,0,,0.0,0.0,0,0,0,0
1735645982933429592,14814,0,,0.0,0.0,0,0,0,0
1735645983047061692,14815,0,,0.0,0.0,0,0,0,0
1735645983159671716,14816,0,,0.0,0.0,0,0,0,0
1735645983266406051,14817,0,,0.0,0.0,0,0,0,0
1735645983379282209,14818,0,,0.0,0.0,0,0,0,0
1735645983491140722,14819,0,,0.0,0.0,0,0,0,0
1735645983604958162,14820,0,,0.0,0.0,0,0,0,0
1735645983719455339,14821,0,,0.0,0.0,0,0,0,0
1735645983827033671,14822,0,,0.0,0.0,0,0,0,0
1735645983937418464,14823,0,,0.0,0.0,0,0,0,0
1735645984050304632,14824,0,,0.0,0.0,0,0,0,0
1735645984167729430,14825,0,,0.0,0.0,0,0,0,0
1735645984269854099,14826,0,,0.0,0.0,0,0,0,0
1735645984381992041,14827,0,,0.0,0.0,0,0,0,0
1735645984495275430,14828,0,,0.0,0.0,0,0,0,0
1735645984606832233,14829,0,,0.0,0.0,0,0,0,0
1735645984715157577,14830,0,,0.0,0.0,0,0,0,0
1735645984829893948,14831,0,,0.0,0.0,0,0,0,0
1735645984937861766,14832,0,,0.0,0.0,0,0,0,0
1735645985045680532,14833,0,,0.0,0.0,0,0,0,0
1735645985155341817,14834,0,,0.0,0.0,0,0,0,0
1735645985269654965,14835,0,,0.0,0.0,0,0,0,0
1735645985384511103,14836,0,,0.0,0.0,0,0,0,0
1735645985493305886,14837,0,,0.0,0.0,0,0,0,0
1735645985603998312,14838,0,,0.0,0.0,0,0,0,0
1735645985724308582,14839,0,,0.0,0.0,0,0,0,0
1735645985823792371,14840,0,,0.0,0.0,0,0,0,0
1735645985936305234,14841,0,,0.0,0.0,0,0,0,0
1735645986047318187,14842,0,,0.0,0.0,0,0,0,0
1735645986161862873,14843,0,,0.0,0.0,0,0,0,0
1735645986276861220,14844,0,,0.0,0.0,0,0,0,0
1735645986377575459,14845,0,,0.0,0.0,0,0,0,0
1735645986493546796,14846,0,,0.0,0.0,0,0,0,0
1735645986604887159,14847,0,,0.0,0.0,0,0,0,0
1735645986712694564,14848,0,,0.0,0.0,0,0,0,0
1735645986820843125,14849,0,,0.0,0.0,0,0,0,0
1735645986935905782,14850,0,,0.0,0.0,0,0,0,0
1735645987044073800,14851,0,,0.0,0.0,0,0,0,0
1735645987164036212,14852,0,,0.0,0.0,0,0,0,0
1735645987274306830,14853,0,,0.0,0.0,0,0,0,0
1735645987382382714,14854,0,,0.0,0.0,0,0,0,0
