%time,control_mode
1736135304034867019,0
1736135304084677535,0
1736135304134778152,0
1736135304184710845,0
1736135304234764895,0
1736135304284700132,0
1736135304334843839,0
1736135304384632795,0
1736135304434659845,0
1736135304484662949,0
1736135304534790275,0
1736135304584735091,0
1736135304634743937,0
1736135304684758202,0
1736135304734850273,0
1736135304784818502,0
1736135304835002012,0
1736135304884849317,0
1736135304934819431,0
1736135304984701961,0
1736135305034842589,0
1736135305084667070,0
1736135305134730685,0
1736135305184693654,0
1736135305234788647,0
1736135305284728403,0
1736135305334823155,0
1736135305384687511,0
1736135305434734605,0
1736135305484685662,0
1736135305534749266,0
1736135305584716362,0
1736135305634673720,0
1736135305684725713,0
1736135305734795431,0
1736135305784759691,0
1736135305834741325,0
1736135305884804318,0
1736135305934842627,0
1736135305984740814,0
1736135306034787768,0
1736135306084780449,0
1736135306134803718,0
1736135306184703527,0
1736135306234774924,0
1736135306284707124,0
1736135306334754757,0
1736135306384731961,0
1736135306434780676,0
1736135306484655600,0
1736135306534727218,0
1736135306584697677,0
1736135306634740894,0
1736135306684713938,0
1736135306734742236,0
1736135306784709731,0
1736135306834774436,0
1736135306884744096,0
1736135306934742387,0
1736135306984756338,0
1736135307034772823,0
1736135307084769160,0
1736135307134757812,0
1736135307184793471,0
1736135307234790560,0
1736135307284725973,0
1736135307334687224,0
1736135307384693270,0
1736135307434690648,0
1736135307484630028,0
1736135307534709209,0
1736135307584666072,0
1736135307634789324,0
1736135307684739916,0
1736135307734753535,0
1736135307784717460,0
1736135307834688331,0
1736135307885017836,0
1736135307934932160,0
1736135307984732042,0
1736135308034688003,0
1736135308084664260,0
1736135308134728210,0
1736135308184697295,0
1736135308234782815,0
1736135308284679855,0
1736135308334675999,0
1736135308384682523,0
1736135308434711368,0
1736135308484717140,0
1736135308534699568,0
1736135308584712074,0
1736135308634732944,0
1736135308684721003,0
1736135308734690358,0
1736135308784671645,0
1736135308834701381,0
1736135308884780109,0
1736135308934698249,0
1736135308984623391,0
1736135309034683624,0
1736135309084674837,0
1736135309134726973,0
1736135309184676309,0
1736135309234629822,0
1736135309284644950,0
1736135309334638678,0
1736135309384697838,0
1736135309434638998,0
1736135309484632195,0
1736135309534614462,0
1736135309584693188,0
1736135309634700181,0
1736135309684695882,0
1736135309734785548,0
1736135309784720778,0
1736135309834698997,0
1736135309884674962,0
1736135309934720346,0
1736135309984659032,0
1736135310034622733,0
1736135310084696869,0
1736135310134680607,0
1736135310184659595,0
1736135310234670974,0
1736135310284674910,0
1736135310334729638,0
1736135310384676528,0
1736135310434715699,0
1736135310484802628,0
1736135310534785053,0
1736135310584717867,0
1736135310634695052,0
1736135310684758778,0
1736135310734750711,0
1736135310784750419,0
1736135310834781114,0
1736135310884795758,0
1736135310934662598,0
1736135310984679698,0
1736135311034767058,0
1736135311084773736,0
1736135311134760948,0
1736135311184773077,0
1736135311234735183,0
1736135311284668785,0
1736135311334712001,0
1736135311384684436,0
1736135311434666449,0
1736135311484711699,0
1736135311534783399,0
1736135311584688919,0
1736135311634704464,0
1736135311684730648,0
1736135311734709695,0
1736135311784702038,0
1736135311834701643,0
1736135311884708882,0
1736135311934720890,0
1736135311984730844,0
1736135312034675848,0
1736135312084676583,0
1736135312134670507,0
1736135312184663569,0
1736135312234739643,0
1736135312284693652,0
1736135312334745092,0
1736135312384730078,0
1736135312434735523,0
1736135312484726790,0
1736135312534698923,0
1736135312584626283,0
1736135312634718928,0
1736135312684712631,0
1736135312734713567,0
1736135312784725624,0
1736135312834726590,0
1736135312884748556,0
1736135312934694640,0
1736135312984709162,0
1736135313034685834,0
1736135313084642853,0
1736135313134756397,0
1736135313184669177,0
1736135313234720235,0
1736135313284738861,0
1736135313334716212,0
1736135313384698792,0
1736135313434667175,0
1736135313484782522,0
1736135313534668402,0
1736135313584736361,0
1736135313634741894,0
1736135313684709946,0
1736135313734704890,0
1736135313784766546,0
1736135313834784412,0
1736135313884836602,0
1736135313934806558,0
1736135313984788968,0
1736135314034828243,0
1736135314084736093,0
1736135314134654871,0
1736135314184665352,0
1736135314234783862,0
1736135314284766691,0
1736135314334759449,0
1736135314384701141,0
1736135314434814352,0
1736135314484729785,0
1736135314534682158,0
1736135314584793124,0
1736135314634865689,0
1736135314684754955,0
1736135314734903190,0
1736135314784754425,0
1736135314834773911,0
1736135314884673025,0
1736135314934791866,0
1736135314984703282,0
1736135315034733257,0
1736135315084828514,0
1736135315134760495,0
1736135315184738434,0
1736135315234738411,0
1736135315284719265,0
1736135315334833046,0
1736135315384702101,0
1736135315434732287,0
1736135315484703361,0
1736135315534741231,0
1736135315584793506,0
1736135315634788145,0
1736135315684734986,0
1736135315734737929,0
1736135315784797480,0
1736135315834793560,0
