%time,desired_box
1736135304099018733,200
1736135304199055972,200
1736135304299069254,200
1736135304399014671,200
1736135304499015771,200
1736135304599024795,200
1736135304698923705,200
1736135304799010164,200
1736135304899011354,200
1736135304999082283,200
1736135305099067729,200
1736135305199023201,200
1736135305299102332,200
1736135305399060417,200
1736135305499017130,200
1736135305599031341,200
1736135305699006469,200
1736135305799018025,200
1736135305899030182,200
1736135305999088825,200
1736135306099044654,200
1736135306199009950,200
1736135306299035347,200
1736135306399092824,200
1736135306498973323,200
1736135306598945322,200
1736135306699058583,200
1736135306799004191,200
1736135306899029519,200
1736135306999037034,200
1736135307099047580,200
1736135307198958051,200
1736135307299041151,200
1736135307399030218,200
1736135307499021820,200
1736135307599048455,200
1736135307699107292,200
1736135307799068437,200
1736135307899070686,200
1736135307999063911,200
1736135308099021025,200
1736135308199042337,200
1736135308299066415,200
1736135308399065878,200
1736135308499087811,200
1736135308599094627,200
1736135308699044146,200
1736135308799064086,200
1736135308899035355,200
1736135308999071806,200
1736135309099101953,200
1736135309199117581,200
1736135309299085280,200
1736135309399019347,200
1736135309499070392,200
1736135309598989019,200
1736135309699093553,200
1736135316708748698,122
1736135316808795620,122
1736135316908789022,122
1736135317008754571,122
1736135317108797300,122
1736135317208882379,122
1736135317308782413,122
1736135317408754472,122
1736135317508765703,122
1736135317608767417,122
1736135317708807341,122
1736135317808749284,122
1736135317908763931,122
1736135318008777328,122
1736135318108759943,122
1736135318208876326,122
1736135318308859592,122
1736135318408747040,122
1736135318508757295,122
1736135318608830118,122
1736135318708818262,122
1736135318808834820,122
1736135318908842461,122
1736135319008800510,122
1736135319108828305,122
1736135319208801739,122
1736135319308835395,122
1736135319408824588,122
1736135319508898188,122
1736135319608803325,122
1736135319709966851,122
1736135319808812971,122
1736135319909248584,122
1736135320008888268,122
1736135320108826393,122
1736135320208827605,122
1736135320309059045,122
1736135320408838175,122
1736135320508864684,122
1736135320608876095,122
1736135320709291286,122
1736135320809133883,122
1736135320908838524,122
1736135321008952075,122
1736135321109451008,122
1736135321209280919,122
1736135321309559633,122
1736135321408786975,122
1736135321510831729,122
1736135321609196889,122
1736135321708783327,122
1736135321808800696,122
1736135321909579619,122
1736135322008769931,122
1736135322108801082,122
1736135322208789684,122
1736135322308778987,122
1736135322409321598,122
1736135322508905898,122
1736135322608774006,122
1736135322708802772,122
1736135322808768122,122
1736135322908774697,122
1736135323008807100,122
1736135323108776142,122
1736135323208758929,122
1736135323308749942,122
1736135323408872599,122
1736135323508909848,122
1736135323608768585,122
1736135323709692961,122
1736135323808748687,122
1736135323908739269,122
1736135324008798418,122
1736135324108774660,122
1736135324209122943,122
1736135324309239435,122
1736135324409040061,122
1736135324509392992,122
1736135324608851573,122
1736135324709268313,122
1736135324808853599,122
1736135324909279145,122
1736135325009063170,122
1736135325108995356,122
1736135325208800927,122
1736135325309253662,122
1736135325409021984,122
1736135325508916109,122
1736135325608943913,122
1736135325708765465,122
1736135325808832501,122
1736135325908768246,122
1736135326008747750,122
1736135326108722051,122
1736135326208758086,122
1736135326308744931,122
1736135326408745302,122
1736135326508704585,122
1736135326608774093,122
1736135326708821240,122
1736135326808745519,122
1736135326908766707,122
1736135327008773569,122
1736135327108841390,122
1736135327208795411,122
1736135327308767946,122
1736135327408748555,122
1736135327508772705,122
1736135327608783111,122
1736135327708798745,122
1736135327808876515,122
1736135327908887351,122
1736135328008839158,122
1736135328108845892,122
1736135328208814095,122
1736135328308785625,122
1736135328408764227,122
1736135328508790317,122
1736135328608805830,122
1736135328708814558,122
1736135328808817435,122
1736135328908841904,122
1736135329008770092,122
1736135329108748019,122
1736135329208723193,122
1736135329308737938,122
1736135329408767133,122
1736135329508778722,122
1736135329608784243,122
1736135329708825598,122
1736135329808803154,122
1736135329908796752,122
1736135330008767915,122
1736135330108784462,122
1736135330208783615,122
1736135330308761640,122
1736135330408701945,122
1736135330508759327,122
1736135330608738474,122
1736135330708742987,122
