%time,intersection_length
1736135304138014926,0
1736135304238777491,0
1736135304336875765,0
1736135304439895384,0
1736135304537669375,0
1736135304636880046,0
1736135304737867720,0
1736135304838697860,0
1736135304937024609,0
1736135305036812178,0
1736135305137015440,0
1736135305237154192,0
1736135305336864598,0
1736135305437681210,0
1736135305536675416,0
1736135305637040228,0
1736135305737143213,0
1736135305838073286,0
1736135305937843482,0
1736135306038375755,0
1736135306136587563,0
1736135306236688199,0
1736135306336807582,0
1736135306438536695,0
1736135306538158493,0
1736135306636752521,0
1736135306737081883,0
1736135306837762689,0
1736135306937974223,0
1736135307036943466,0
1736135307137102339,0
1736135307236964660,0
1736135307337232664,0
1736135307437251917,0
1736135307538699763,0
1736135307638332908,0
1736135307738421550,0
1736135307838022185,0
1736135307938071282,0
1736135308038267693,0
1736135308136966098,0
1736135308236955061,0
1736135308337990908,0
1736135308438411233,0
1736135308537697549,0
1736135308638241573,0
1736135308737896515,0
1736135308837627478,0
1736135308937754577,0
1736135309037837243,0
1736135309137794713,0
1736135309237757373,0
1736135309337647799,0
1736135309437785755,0
1736135309537951883,0
1736135309638365190,0
1736135309737751409,0
1736135309837761667,0
1736135309938356542,0
1736135310037840121,0
1736135310137675040,0
1736135310238309876,0
1736135310338348492,0
1736135310437821409,0
1736135310538052234,0
1736135310637976148,0
1736135310737922664,0
1736135310838225513,0
1736135310937929659,0
1736135311037570807,0
1736135311137688217,0
1736135311236570283,0
1736135311337862515,0
1736135311436922871,0
1736135311536790818,0
1736135311636761455,0
1736135311737230669,0
1736135311836805051,0
1736135311936764006,0
1736135312036511348,0
1736135312137603305,0
1736135312236753965,0
1736135312336619084,0
1736135312437930238,0
1736135312536725127,0
1736135312636265962,0
1736135312736307759,0
1736135312836153591,0
1736135312936521544,0
1736135313036442798,0
1736135313136604911,0
1736135313236709029,0
1736135313336506948,0
1736135313436474673,0
1736135313536265218,0
1736135313636812020,0
1736135313736843142,0
1736135313836630953,0
1736135313937033816,0
1736135314037102798,0
1736135314136417826,0
1736135314238260772,0
1736135314338528100,0
1736135314436795663,0
1736135314536523057,0
1736135314637016946,0
1736135314736517960,0
1736135314836535323,0
1736135314936493698,0
1736135315036663443,0
1736135315137829256,0
1736135315236483103,0
1736135315337959064,0
1736135315437196424,0
1736135315536475993,0
1736135315637780785,0
1736135315736721524,0
1736135315838120220,0
1736135315936343928,0
1736135316037464447,0
1736135316136468009,0
1736135316236388526,0
1736135316337511556,0
1736135316437409821,0
1736135316537865813,0
1736135316637088022,0
1736135316738195844,0
1736135316837512178,0
1736135316937302262,0
1736135317037753441,0
1736135317137692078,0
1736135317237218810,0
1736135317337061829,0
1736135317437808045,0
1736135317537856746,0
1736135317636674180,0
1736135317738067859,0
1736135317837755609,0
1736135317937714844,0
1736135318037544147,0
1736135318137968142,0
1736135318237562996,0
1736135318337727659,0
1736135318437906809,0
1736135318537570110,0
1736135318636804324,0
1736135318736883638,0
1736135318838261264,0
1736135318936624781,0
1736135319036514884,0
