%time,field.header.seq,field.header.stamp,field.header.frame_id,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.pose.covariance0,field.pose.covariance1,field.pose.covariance2,field.pose.covariance3,field.pose.covariance4,field.pose.covariance5,field.pose.covariance6,field.pose.covariance7,field.pose.covariance8,field.pose.covariance9,field.pose.covariance10,field.pose.covariance11,field.pose.covariance12,field.pose.covariance13,field.pose.covariance14,field.pose.covariance15,field.pose.covariance16,field.pose.covariance17,field.pose.covariance18,field.pose.covariance19,field.pose.covariance20,field.pose.covariance21,field.pose.covariance22,field.pose.covariance23,field.pose.covariance24,field.pose.covariance25,field.pose.covariance26,field.pose.covariance27,field.pose.covariance28,field.pose.covariance29,field.pose.covariance30,field.pose.covariance31,field.pose.covariance32,field.pose.covariance33,field.pose.covariance34,field.pose.covariance35
1736135304138426701,206,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304239020202,207,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304336893648,208,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304439907436,209,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304537910373,210,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304636873745,211,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304737896423,212,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304838694534,213,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135304937089419,214,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305036820283,215,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305137073177,216,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305237182335,217,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305336828051,218,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305437672865,219,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305536631384,220,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305637302816,221,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305737172538,222,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305838100326,223,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135305937851648,224,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135306038355477,225,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135306136540115,226,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135306236695723,227,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1736135306336746298,228,1736134955134114503,map,0.9277575010526078,0.32875498602032943,0.2183849593043517,0.0,0.0,0.0,1.0,4.5806141818629954e-05,-0.00013637643229045328,-0.0006579613912045506,0.0,0.0,0.0,-0.00013637643229045328,0.025841203101248243,-0.0034264078366479586,0.0,0.0,0.0,-0.0006579613912045506,-0.0034264078366479586,0.01059120676278622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
